Product Name,Price,Ratings
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD, Intel Core i3-8145U CPU, 8GB RAM, 128GB SSD, Windows 10 in S Mode, F512FA-AB34, Slate Gray",$379.99,4.2 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"Dell Latitude E6420 14"" HD Anti-glare LED Backlit Business Laptop Computer, Intel Dual Core i7-2620M up to 3.4GHz, 8GB DDR3, 128GB SSD, DVD, HDMI, Windows 10 Pro (Renewed)",$237.00,3.7 out of 5 stars
HP EliteBook Folio 9470M 14in Intel Core i5-3427U 1.8GHz 8GB 180GB SSD Windows 10 Pro (Renewed),$178.36,3.3 out of 5 stars
"Lenovo IdeaPad S145 15.6"" HD Business Laptop PC | AMD A6-9225 Dual-core Upto 3.0GHz | 8GB RAM | 500GB HDD | AMD Radeon R4 Graphics | WiFi | HDMI | Bluetooth | Windows 10",$317.36,-1
"HP 14"" Touchscreen Home and Business Laptop Ryzen 3-3200U, 8GB RAM, 128GB M.2 SSD, Dual-Core up to 3.50 GHz, Vega 3 Graphics, RJ-45, USB-C, 4K Output HDMI, Bluetooth, Webcam, 1366x768, Win 10",$319.99,-1
"2019 New Dell Inspiron 11 Chromebook , 11.6"" HD Non-Touchscreen Display, Intel Celeron Dual Core N3060 Processor, 4GB Ram, 16GB eMMc Flash Memory, WiFi, HDMI, USB3.0, Chrome OS",$158.00,4.2 out of 5 stars
"2019 Newest HP ProBook 430 G5 13.3 Inch HD Laptop (Inter Core i5-7200U up to 3.1GHz, 16GB DDR4 RAM, 512GB SSD, Intel HD Graphics 620, Backlit Keyboard, HD Webcam, Windows 10 Pro)",$946.94,-1
"Lenovo 2019 Newest L340-17 17.3 Inch HD Laptop (8th Gen Intel Dual Core i3-8345U up to 3.90 GHz, 8GB DDR4 RAM, 1TB HDD, Bluetooth, DVD, WiFi, Windows 10) (Gray)",$449.00,-1
"HP Pavilion 2019 15.6 HD LED Laptop Notebook Computer PC, 2-Core AMD A6 2.6GHz, 8GB DDR4 RAM, 128GB SSD, DVD, HDMI, RJ-45, USB 3.0, Bluetooth, Webcam, Wi-Fi, Windows 10 Home in S Mode",$377.99,3.3 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$209.99,3.9 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)",$0,3.9 out of 5 stars
"Dell G3 15 3579, G3579-5779BLK-PUS,8th Gen Intel Core i5-8300H Proc (Quad-Core, 8MB Cache, up to 3.9GHz w/TB),8GB DDR4 2666MHz,256 SSD,15.6-inch FHD (1920 x 1080) IPS,NVIDIA GeForce GTX 1060 Max Q",$699.99,4.8 out of 5 stars
Lenovo IdeaPad L340 15.6 inch FHD WLED AMD Ryzen 3-3200U 8GB 1TB HDD Win 10 Laptop,$0,-1
HP EliteBook Folio 9480M 14in Intel Core i5-4310U 2.0GHz 8GB 180GB SSD Windows 10 Professional (Renewed),$203.20,3.7 out of 5 stars
"LG gram Laptop - 13.3"" Full HD Display, Intel 8th Gen Core i5, 8GB RAM, 256GB SSD, 24.5  Hour Battery, 13Z990-U.AAW5U1 (2019), White",$842.49,4.3 out of 5 stars
"2019 Newest Lenovo Ideapad S145 15.6"" HD TN Widescreen Laptop, AMD A6-9225 Processor up to 3.00GHz, 16GB RAM, 512GB PCIe NVMe M.2 SSD + 1TB HDD, HDMI, Wireless-AC, Bluetooth, Windows 10, Granite Black",$444.51,4.0 out of 5 stars
"Asus FX504 Thin & Light TUF Gaming Laptop, 15.6” Full HD, 8th Gen Intel Core i7-8750H Processor, GeForce GTX 1050 Ti, 8GB DDR4, 256GB M.2 SSD, Gigabit WiFi, Windows 10 - FX504GE-ES72",$798.87,3.9 out of 5 stars
"Oemgenuine Lenovo ThinkPad T470s Laptop Computer 14 Inch FHD Display 1920x1080, Intel Dual Core i5-6300U, 20GB RAM, 1TB SSD (PCIe-NVMe), Fingerprint, W10P",$899.95,4.8 out of 5 stars
"CHUWI HeroBook Laptop Computer Windows 10 PC, 14.1"" 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM/64GB eMMC and Extra 256GB SSD, 1TB M.2 SSD Slot, Thin and Lightweight",$229.99,3.5 out of 5 stars
"Bit CORE+ 10.1 Windows 10, 2 in 1 Detachable PC - with Bonus Full Function Bit Smart Watch (W10046APB+S1CG)",$219.99,1.0 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD, Intel Core i3-8145U CPU, 8GB RAM, 128GB SSD, Windows 10 in S Mode, F512FA-AB34, Slate Gray",$379.99,4.2 out of 5 stars
"ASUS Chromebook C423NA-DH02 14.0"" HD NanoEdge Display, 180 Degree, Intel Dual Core Celeron Processor, 4GB RAM, 32GB eMMC Storage, Silver Color",$204.95,3.8 out of 5 stars
"14.1"" Full HD Windows Laptop PC (Windows 10, 4GB RAM, Dual Band 5GHz WiFi (2X WiFi Speeds), T90B+ Pro Model, Lapbook, Intel Quad-Core, USB 3.0, Bluetooth, Laptop Compute (64GB)",$229.97,3.9 out of 5 stars
"2018 HP 15.6"" Business Laptop HD+ WLED-backlit Touchscreen Display Intel i3-7100U Processor 12GB DDR4 RAM 1TB HDD Intel 620 Graphics DVD-RW 802.11AC Wifi HDMI Windows 10-Black",$500.00,3.8 out of 5 stars
"ASUS VivoBook F510QA Thin & Lightweight Laptop, 15.6” FHD WideView, AMD Quad Core A12-9720P Processor, 8GB RAM, 256G SSD, Fingerprint Reader, Windows 10 in S Mode, F510QA-DS99",$359.00,3.8 out of 5 stars
"2019 ASUS VivoBook F510QA 15.6” WideView FHD Laptop Computer, AMD Quad-Core A12-9720P up to 3.6GHz, 4GB DDR4 RAM, 128GB SSD , USB 3.0, 802.11ac WiFi, HDMI, Windows 10",$298.00,4.1 out of 5 stars
"HP 15.6"" FHD Home and Business Laptop Core i7-1065G7, 20GB RAM, 1TB SSD, Intel Iris Plus Graphics, 4 Core up to 3.90 GHz, USB-C, HDMI 1.4 4K Output, Keypad, Webcam, 1920x1080, Win 10",$786.99,-1
"HP 15.6"" HD Touchscreen Laptop PC, Intel Core i5-7200U, 8GB RAM, 2TB HDD + 128GB SSD, HDMI, WiFi, DVD RW, Windows 10 Home",$592.00,3.9 out of 5 stars
"HP 2019 Newest 15 15.6 Inch HD Laptop (Intel Dual Core i3-7100U 2.4 GHz, 16GB RAM, 1TB HDD, Intel UHD Graphics 620, WiFi, HDMI, Bluetooth, Windows 10) (Silver)",$400.73,4.0 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$209.99,3.9 out of 5 stars
"MSI GL75 Gaming Laptop: Core i7-9750H, 16GB RAM, 17.3"" 144Hz Full HD Display, NVidia GTX 1660 Ti, 256GB SSD + 1TB HDD","$1,289.00",-1
"ASUS TUF (2019) Gaming Laptop, 15.6” 120Hz FHD IPS-Type, AMD Ryzen 7 R7-3750H, GeForce GTX 1660 Ti, 16GB DDR4, 256GB PCIe SSD + 1TB HDD, Gigabit Wi-Fi 5, RGB KB, Windows 10 Home, TUF505DU-EB74",$999.99,3.6 out of 5 stars
"ASUS TUF Gaming Laptop, 17.3"" AMD Ryzen 7 3750H, GeForce GTX 1650, Gigabit Wi-Fi 5, Windows 10 (17.3"" | 8GB RAM | 512GB NVMe SSD | GTX 1650)",$839.99,-1
"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",$479.95,-1
"2019 Newest Lenovo 15.6"" Laptop Computer, Intel Pentium Gold 5405U, 2.3GHz, 8GB DDR4 RAM, 256GB SSD, WiFi, Bluetooth, USB 3.1, HDMI, Windows 10 w/ Hesvap Accessories",$311.95,3.1 out of 5 stars
"2019 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC | AMD A6-9225 Dual-Core 2.60 GHz| 4GB RAM | 500GB HDD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10",$255.00,2.9 out of 5 stars
"HP Chromebook X360 14-Inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)",$319.99,3.5 out of 5 stars
